segment	variable	group	num
MF	alltran_lac_cell_count_d28_per	0.0	65776
MF	alltran_lac_cell_count_d28_per	1.0	59965
MF	alltran_lac_cell_count_d28_per	2.0	66889
MF	alltran_lac_cell_count_d28_per	3.0	59594
MF	alltran_lac_cell_count_d28_per	4.0	60164
MF	alltran_lac_cell_count_d28_per	5.0	70752
MF	alltran_lac_cell_count_d28_per	6.0	53979
MF	alltran_lac_cell_count_d28_per	7.0	61657
MF	alltran_lac_cell_count_d28_per	8.0	73531
MF	alltran_lac_cell_count_d28_per	9.0	44929
MF	balance_amount_min_per	0.0	65492
MF	balance_amount_min_per	1.0	68540
MF	balance_amount_min_per	2.0	60128
MF	balance_amount_min_per	3.0	53839
MF	balance_amount_min_per	4.0	71514
MF	balance_amount_min_per	5.0	59870
MF	balance_amount_min_per	6.0	54683
MF	balance_amount_min_per	7.0	63879
MF	balance_amount_min_per	8.0	58473
MF	balance_amount_min_per	9.0	60818
MF	block_count_m12_per	0.0	210099
MF	block_count_m12_per	1.0	38801
MF	block_count_m12_per	2.0	62963
MF	block_count_m12_per	3.0	64807
MF	block_count_m12_per	4.0	60584
MF	block_count_m12_per	5.0	56860
MF	block_count_m12_per	6.0	62546
MF	block_count_m12_per	7.0	60576
MF	block_count_m1_per	0.0	370723
MF	block_count_m1_per	1.0	64360
MF	block_count_m1_per	2.0	60874
MF	block_count_m1_per	3.0	63242
MF	block_count_m1_per	4.0	58037
MF	block_duration_seconds_m12_circle_d168_avg_10_per	0.0	66064
MF	block_duration_seconds_m12_circle_d168_avg_10_per	1.0	65947
MF	block_duration_seconds_m12_circle_d168_avg_10_per	2.0	57734
MF	block_duration_seconds_m12_circle_d168_avg_10_per	3.0	62074
MF	block_duration_seconds_m12_circle_d168_avg_10_per	4.0	63635
MF	block_duration_seconds_m12_circle_d168_avg_10_per	5.0	59432
MF	block_duration_seconds_m12_circle_d168_avg_10_per	6.0	63193
MF	block_duration_seconds_m12_circle_d168_avg_10_per	7.0	64561
MF	block_duration_seconds_m12_circle_d168_avg_10_per	8.0	62009
MF	block_duration_seconds_m12_circle_d168_avg_10_per	9.0	52587
MF	circle_short_spam_msisdn_count_d28_per	0.0	63261
MF	circle_short_spam_msisdn_count_d28_per	1.0	61877
MF	circle_short_spam_msisdn_count_d28_per	2.0	63493
MF	circle_short_spam_msisdn_count_d28_per	3.0	59199
MF	circle_short_spam_msisdn_count_d28_per	4.0	76934
MF	circle_short_spam_msisdn_count_d28_per	5.0	99570
MF	circle_short_spam_msisdn_count_d28_per	6.0	58003
MF	circle_short_spam_msisdn_count_d28_per	7.0	80953
MF	circle_short_spam_msisdn_count_d28_per	8.0	53946
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	0.0	68089
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	1.0	62170
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	2.0	58633
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	3.0	63401
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	4.0	66034
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	5.0	59283
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	6.0	59329
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	7.0	58515
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	8.0	62855
MF	circle_spam_msisdn_count_d28_circle_d168_avg_10_per	9.0	58927
MF	circle_spam_msisdn_count_d28_per	0.0	63377
MF	circle_spam_msisdn_count_d28_per	1.0	70578
MF	circle_spam_msisdn_count_d28_per	2.0	52337
MF	circle_spam_msisdn_count_d28_per	3.0	71748
MF	circle_spam_msisdn_count_d28_per	4.0	77797
MF	circle_spam_msisdn_count_d28_per	5.0	36434
MF	circle_spam_msisdn_count_d28_per	6.0	85786
MF	circle_spam_msisdn_count_d28_per	7.0	51291
MF	circle_spam_msisdn_count_d28_per	8.0	64982
MF	circle_spam_msisdn_count_d28_per	9.0	42906
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	0.0	290641
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	1.0	4314
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	2.0	42578
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	3.0	40560
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	4.0	40560
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	5.0	38555
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	6.0	39875
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	7.0	43377
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	8.0	39148
MF	lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	9.0	37628
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	0.0	68965
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	1.0	59523
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	2.0	64104
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	3.0	62732
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	4.0	57652
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	5.0	60291
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	6.0	61510
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	7.0	61985
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	8.0	59261
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	9.0	61213
MF	lifetime_days_count_per	0.0	63251
MF	lifetime_days_count_per	1.0	66234
MF	lifetime_days_count_per	2.0	60433
MF	lifetime_days_count_per	3.0	58132
MF	lifetime_days_count_per	4.0	64563
MF	lifetime_days_count_per	5.0	64134
MF	lifetime_days_count_per	6.0	60097
MF	lifetime_days_count_per	7.0	61348
MF	lifetime_days_count_per	8.0	71873
MF	lifetime_days_count_per	9.0	47171
MF	subs_device_lifetime_circle_d168_avg_10_per	0.0	70599
MF	subs_device_lifetime_circle_d168_avg_10_per	1.0	56832
MF	subs_device_lifetime_circle_d168_avg_10_per	2.0	65517
MF	subs_device_lifetime_circle_d168_avg_10_per	3.0	59308
MF	subs_device_lifetime_circle_d168_avg_10_per	4.0	59362
MF	subs_device_lifetime_circle_d168_avg_10_per	5.0	68211
MF	subs_device_lifetime_circle_d168_avg_10_per	6.0	55139
MF	subs_device_lifetime_circle_d168_avg_10_per	7.0	66761
MF	subs_device_lifetime_circle_d168_avg_10_per	8.0	55711
MF	subs_device_lifetime_circle_d168_avg_10_per	9.0	59796
MF	subs_device_lifetime_per	0.0	64013
MF	subs_device_lifetime_per	1.0	66509
MF	subs_device_lifetime_per	2.0	61193
MF	subs_device_lifetime_per	3.0	56729
MF	subs_device_lifetime_per	4.0	61108
MF	subs_device_lifetime_per	5.0	61423
MF	subs_device_lifetime_per	6.0	63336
MF	subs_device_lifetime_per	7.0	61544
MF	subs_device_lifetime_per	8.0	63987
MF	subs_device_lifetime_per	9.0	57394
MF	subs_lifetime_days_count_circle_d168_avg_10_per	0.0	69178
MF	subs_lifetime_days_count_circle_d168_avg_10_per	1.0	62754
